time, AIRS3STD_7_0_H2O_MMR_A
2021-12-02,-9999.0
2021-12-03,-9999.0
2021-12-04,-9999.0
2021-12-05,4.18359375
2021-12-06,-9999.0
2021-12-07,-9999.0
2021-12-08,-9999.0
2021-12-09,3.48242188
2021-12-10,-9999.0
2021-12-11,-9999.0
2021-12-12,3.28320312
2021-12-13,3.80078125
2021-12-14,-9999.0
2021-12-15,-9999.0
2021-12-16,-9999.0
2021-12-17,-9999.0
2021-12-18,-9999.0
2021-12-19,-9999.0
2021-12-20,3.95507812
2021-12-21,3.67382812
2021-12-22,-9999.0
2021-12-23,2.34960938
2021-12-24,-9999.0
2021-12-25,-9999.0
2021-12-26,-9999.0
2021-12-27,-9999.0
2021-12-28,-9999.0
2021-12-29,-9999.0
2021-12-30,-9999.0
2021-12-31,-9999.0
2022-01-01,-9999.0
2022-01-02,-9999.0
2022-01-03,2.55078125
2022-01-04,-9999.0
2022-01-05,-9999.0
2022-01-06,-9999.0
2022-01-07,1.80957031
2022-01-08,2.53710938
2022-01-09,-9999.0
2022-01-10,-9999.0
2022-01-11,0.80078125
2022-01-12,-9999.0
2022-01-13,-9999.0
2022-01-14,1.63867188
2022-01-15,1.71289062
2022-01-16,-9999.0
2022-01-17,-9999.0
2022-01-18,2.57617188
2022-01-19,-9999.0
2022-01-20,-9999.0
2022-01-21,1.27148438
2022-01-22,0.919921875
2022-01-23,1.52929688
2022-01-24,-9999.0
2022-01-25,2.24804688
2022-01-26,1.13574219
2022-01-27,3.15039062
2022-01-28,1.37207031
2022-01-29,-9999.0
2022-01-30,1.37890625
2022-01-31,1.9140625
2022-02-01,2.90234375
2022-02-02,4.4296875
2022-02-03,-9999.0
2022-02-04,2.9375
2022-02-05,-9999.0
2022-02-06,2.49023438
2022-02-07,-9999.0
2022-02-08,-9999.0
2022-02-09,-9999.0
2022-02-10,-9999.0
2022-02-11,-9999.0
2022-02-12,-9999.0
2022-02-13,1.71484375
2022-02-14,-9999.0
2022-02-15,1.49316406
2022-02-16,4.92578125
2022-02-17,-9999.0
2022-02-18,-9999.0
2022-02-19,-9999.0
2022-02-20,3.29296875
2022-02-21,-9999.0
2022-02-22,-9999.0
2022-02-23,-9999.0
2022-02-24,2.42578125
2022-02-25,-9999.0
