time, AIRS3STD_7_0_SurfAirTemp_A
2022-05-02,-9999.0
2022-05-03,-9999.0
2022-05-04,-9999.0
2022-05-05,-9999.0
2022-05-06,-9999.0
2022-05-07,-9999.0
2022-05-08,16.7250004
2022-05-09,20.4750004
2022-05-10,-9999.0
2022-05-11,25.7875004
2022-05-12,26.0375004
2022-05-13,24.7250004
2022-05-14,25.1000004
2022-05-15,-9999.0
2022-05-16,-9999.0
2022-05-17,-9999.0
2022-05-18,7.5999999
2022-05-19,-9999.0
2022-05-20,-9999.0
2022-05-21,-9999.0
2022-05-22,-9999.0
2022-05-23,11.5375004
2022-05-24,-9999.0
2022-05-25,-9999.0
2022-05-26,-9999.0
2022-05-27,-9999.0
2022-05-28,-9999.0
2022-05-29,20.6000004
2022-05-30,28.9750004
2022-05-31,-9999.0
2022-06-01,-9999.0
2022-06-02,-9999.0
2022-06-03,18.6000004
2022-06-04,-9999.0
2022-06-05,17.9125004
2022-06-06,-9999.0
2022-06-07,-9999.0
2022-06-08,-9999.0
2022-06-09,-9999.0
2022-06-10,14.1000004
2022-06-11,15.2250004
2022-06-12,-9999.0
2022-06-13,-9999.0
2022-06-14,22.1625004
2022-06-15,-9999.0
2022-06-16,27.6625004
2022-06-17,22.6625004
2022-06-18,-9999.0
2022-06-19,-9999.0
2022-06-20,21.0375004
2022-06-21,-9999.0
2022-06-22,23.8500004
2022-06-23,-9999.0
2022-06-24,26.3500004
2022-06-25,26.7875004
2022-06-26,28.3500004
2022-06-27,-9999.0
2022-06-28,17.6000004
2022-06-29,-9999.0
2022-06-30,-9999.0
2022-07-01,-9999.0
2022-07-02,-9999.0
2022-07-03,17.7250004
2022-07-04,-9999.0
2022-07-05,-9999.0
2022-07-06,-9999.0
2022-07-07,21.6000004
2022-07-08,-9999.0
2022-07-09,22.1000004
2022-07-10,23.2250004
2022-07-11,-9999.0
2022-07-12,25.4125004
2022-07-13,-9999.0
2022-07-14,19.9750004
2022-07-15,-9999.0
2022-07-16,22.8500004
2022-07-17,22.8500004
2022-07-18,-9999.0
2022-07-19,22.9125004
2022-07-20,26.6000004
2022-07-21,21.5375004
2022-07-22,24.1625004
2022-07-23,28.5375004
2022-07-24,-9999.0
2022-07-25,-9999.0
2022-07-26,19.6625004
2022-07-27,-9999.0
2022-07-28,-9999.0
2022-07-29,19.2875004
2022-07-30,-9999.0
2022-07-31,21.7250004
2022-08-01,-9999.0
2022-08-02,21.5375004
2022-08-03,25.9125004
2022-08-04,23.7250004
2022-08-05,26.3500004
2022-08-06,26.4750004
2022-08-07,25.9750004
2022-08-08,-9999.0
2022-08-09,-9999.0
2022-08-10,20.2250004
2022-08-11,19.4750004
2022-08-12,-9999.0
2022-08-13,19.9750004
2022-08-14,21.2875004
2022-08-15,22.2875004
2022-08-16,23.7250004
2022-08-17,-9999.0
2022-08-18,20.6000004
2022-08-19,-9999.0
2022-08-20,24.9125004
2022-08-21,22.6625004
2022-08-22,-9999.0
2022-08-23,21.1625004
2022-08-24,22.7875004
2022-08-25,23.1625004
2022-08-26,-9999.0
2022-08-27,21.2875004
2022-08-28,25.0375004
2022-08-29,25.9750004
2022-08-30,-9999.0
2022-08-31,18.4125004
