time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-07-22,5.77499962,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-20.9624996,22.1625004
2020-07-23,0.764999986,-9999.0,-9999.0,0.982800007,-9999.0,-9999.0,12.8500004,25.6625004
2020-07-24,0.0,24.6625004,69.5,-1.267651e+30,13.125,12.40625,16.4125004,27.4750004
2020-07-25,0.0,-9999.0,-9999.0,0.929199994,-9999.0,-9999.0,-9999.0,-9999.0
2020-07-26,0.0,23.6625004,87.0,0.934599996,16.484375,16.609375,-18.2124996,28.4750004
2020-07-27,0.850000024,27.9125004,-9999.0,-1.267651e+30,-9999.0,17.65625,-9.02499962,29.1625004
2020-07-28,11.8600006,22.8500004,-9999.0,0.902800024,-9999.0,9.421875,-16.0874996,28.3500004
2020-07-29,4.57499981,24.4125004,77.5,-1.267651e+30,15.5078125,13.8046875,-9.89999962,26.5375004
2020-07-30,0.149999991,22.7875004,67.0,0.929400027,11.8203125,11.0,-19.2124996,26.7250004
2020-07-31,0.0,23.7875004,-9999.0,-1.267651e+30,-9999.0,11.1484375,-8.39999962,28.2250004
2020-08-01,0.0,24.5375004,-9999.0,0.956700027,-9999.0,10.7578125,-37.9312515,26.7875004
2020-08-02,4.03999996,24.6000004,-9999.0,-1.267651e+30,-9999.0,15.90625,7.2874999,27.3500004
2020-08-03,0.0,21.8500004,-9999.0,-1.267651e+30,-9999.0,12.5546875,-12.5249996,25.4750004
2020-08-04,62.0049934,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-43.3687515,-9999.0
2020-08-05,0.0299999993,19.2250004,73.0,-1.267651e+30,10.0703125,9.8046875,-2.6500001,24.4125004
2020-08-06,0.0,19.6000004,68.5,0.910600007,9.4140625,9.4140625,-18.9312496,25.1625004
2020-08-07,0.00499999989,21.8500004,79.0,-1.267651e+30,12.7734375,12.7890625,0.912500024,26.5375004
2020-08-08,0.0,23.4750004,67.5,-1.267651e+30,12.3828125,12.546875,4.4749999,26.8500004
2020-08-09,0.0,26.5375004,-9999.0,-1.267651e+30,-9999.0,12.8515625,5.2874999,26.0375004
