time, AIRS3STD_7_0_H2O_MMR_Surf_A
2022-05-09,3.99804688
2022-05-10,-9999.0
2022-05-11,5.5546875
2022-05-12,6.28125
2022-05-13,10.953125
2022-05-14,12.4609375
2022-05-15,-9999.0
2022-05-16,-9999.0
2022-05-17,-9999.0
2022-05-18,4.9921875
2022-05-19,-9999.0
2022-05-20,-9999.0
2022-05-21,-9999.0
2022-05-22,-9999.0
2022-05-23,7.08203125
2022-05-24,-9999.0
2022-05-25,-9999.0
2022-05-26,-9999.0
2022-05-27,-9999.0
2022-05-28,-9999.0
2022-05-29,8.09375
2022-05-30,11.59375
2022-05-31,-9999.0
2022-06-01,-9999.0
2022-06-02,-9999.0
2022-06-03,8.1484375
2022-06-04,-9999.0
2022-06-05,6.3515625
2022-06-06,-9999.0
2022-06-07,-9999.0
2022-06-08,-9999.0
2022-06-09,-9999.0
2022-06-10,7.33203125
2022-06-11,8.6875
2022-06-12,-9999.0
2022-06-13,-9999.0
2022-06-14,10.6484375
2022-06-15,-9999.0
2022-06-16,15.7734375
2022-06-17,9.5625
2022-06-18,-9999.0
2022-06-19,-9999.0
2022-06-20,9.890625
2022-06-21,-9999.0
2022-06-22,16.40625
2022-06-23,-9999.0
2022-06-24,9.1015625
2022-06-25,10.4609375
2022-06-26,13.8359375
2022-06-27,-9999.0
2022-06-28,9.6953125
2022-06-29,-9999.0
2022-06-30,-9999.0
2022-07-01,-9999.0
2022-07-02,-9999.0
2022-07-03,9.8203125
2022-07-04,-9999.0
2022-07-05,-9999.0
2022-07-06,-9999.0
2022-07-07,11.265625
2022-07-08,-9999.0
2022-07-09,7.53125
2022-07-10,9.46875
2022-07-11,-9999.0
2022-07-12,11.2890625
2022-07-13,-9999.0
2022-07-14,9.78125
2022-07-15,-9999.0
2022-07-16,9.71875
2022-07-17,13.484375
2022-07-18,-9999.0
2022-07-19,14.9921875
2022-07-20,15.6796875
2022-07-21,14.9296875
2022-07-22,12.6015625
2022-07-23,12.6640625
2022-07-24,-9999.0
2022-07-25,-9999.0
2022-07-26,10.796875
2022-07-27,-9999.0
2022-07-28,-9999.0
2022-07-29,8.953125
2022-07-30,-9999.0
2022-07-31,12.65625
2022-08-01,-9999.0
2022-08-02,12.78125
2022-08-03,13.5546875
2022-08-04,16.609375
2022-08-05,15.390625
2022-08-06,18.390625
2022-08-07,15.75
2022-08-08,-9999.0
2022-08-09,-9999.0
2022-08-10,11.6875
2022-08-11,13.0703125
2022-08-12,-9999.0
2022-08-13,8.5
2022-08-14,9.2265625
2022-08-15,10.8984375
2022-08-16,11.359375
2022-08-17,-9999.0
2022-08-18,11.2421875
2022-08-19,-9999.0
2022-08-20,13.2890625
2022-08-21,12.8203125
2022-08-22,-9999.0
2022-08-23,13.1328125
2022-08-24,11.4296875
2022-08-25,13.0234375
2022-08-26,-9999.0
2022-08-27,9.7109375
2022-08-28,13.5
2022-08-29,16.0625
2022-08-30,-9999.0
2022-08-31,9.0625
2022-09-01,8.3046875
2022-09-02,11.859375
2022-09-03,13.3359375
2022-09-04,11.71875
2022-09-05,-9999.0
2022-09-06,13.3671875
2022-09-07,11.25
2022-09-08,11.8828125
2022-09-09,10.8125
2022-09-10,11.2265625
2022-09-11,-9999.0
2022-09-12,13.3046875
2022-09-13,9.8828125
2022-09-14,11.6171875
2022-09-15,7.234375
2022-09-16,-9999.0
2022-09-17,12.15625
2022-09-18,-9999.0
2022-09-19,-9999.0
2022-09-20,-9999.0
2022-09-21,13.1171875
2022-09-22,-9999.0
2022-09-23,5.890625
2022-09-24,8.3828125
2022-09-25,-9999.0
2022-09-26,8.9140625
2022-09-27,7.4140625
2022-09-28,8.140625
2022-09-29,6.3671875
2022-09-30,9.3984375
2022-10-01,7.81640625
2022-10-02,7.3359375
2022-10-03,6.7890625
2022-10-04,-9999.0
2022-10-05,9.7421875
2022-10-06,-9999.0
2022-10-07,-9999.0
2022-10-08,3.87890625
2022-10-09,5.74609375
2022-10-10,5.99609375
2022-10-11,7.17578125
2022-10-12,-9999.0
2022-10-13,-9999.0
2022-10-14,5.625
2022-10-15,6.0703125
2022-10-16,6.078125
2022-10-17,-9999.0
2022-10-18,-9999.0
2022-10-19,6.6015625
2022-10-20,-9999.0
2022-10-21,6.7265625
2022-10-22,6.3359375
2022-10-23,7.57421875
2022-10-24,11.2265625
2022-10-25,11.453125
2022-10-26,9.84375
2022-10-27,5.59375
2022-10-28,5.078125
2022-10-29,6.7265625
2022-10-30,-9999.0
2022-10-31,9.6953125
2022-11-01,-9999.0
2022-11-02,6.83203125
2022-11-03,-9999.0
2022-11-04,9.0390625
2022-11-05,-9999.0
2022-11-06,9.765625
2022-11-07,-9999.0
2022-11-08,5.26171875
2022-11-09,6.97265625
2022-11-10,-9999.0
2022-11-11,-9999.0
2022-11-12,-9999.0
2022-11-13,3.03320312
2022-11-14,3.72460938
2022-11-15,-9999.0
2022-11-16,4.69921875
2022-11-17,3.6171875
2022-11-18,2.20703125
2022-11-19,2.71289062
2022-11-20,1.44140625
2022-11-21,3.34960938
2022-11-22,3.41992188
2022-11-23,4.0703125
2022-11-24,5.41796875
2022-11-25,5.62109375
2022-11-26,-9999.0
2022-11-27,-9999.0
2022-11-28,-9999.0
2022-11-29,-9999.0
2022-11-30,-9999.0
2022-12-01,-9999.0
2022-12-02,4.0625
2022-12-03,-9999.0
2022-12-04,2.81835938
2022-12-05,-9999.0
2022-12-06,4.375
2022-12-07,-9999.0
2022-12-08,4.09765625
2022-12-09,3.83007812
2022-12-10,-9999.0
2022-12-11,3.42773438
2022-12-12,3.58007812
2022-12-13,3.71679688
2022-12-14,4.81640625
2022-12-15,-9999.0
2022-12-16,-9999.0
2022-12-17,-9999.0
2022-12-18,1.83789062
2022-12-19,-9999.0
2022-12-20,2.84570312
2022-12-21,-9999.0
2022-12-22,-9999.0
2022-12-23,-9999.0
2022-12-24,1.84277344
2022-12-25,1.42871094
2022-12-26,-9999.0
2022-12-27,2.18554688
2022-12-28,-9999.0
2022-12-29,6.79296875
2022-12-30,7.9375
2022-12-31,-9999.0
2023-01-01,5.1171875
2023-01-02,-9999.0
2023-01-03,-9999.0
2023-01-04,-9999.0
2023-01-05,4.16015625
2023-01-06,3.42382812
2023-01-07,3.18164062
2023-01-08,2.95898438
2023-01-09,-9999.0
2023-01-10,1.9375
2023-01-11,2.59375
2023-01-12,4.9296875
2023-01-13,-9999.0
