time, OMAERUVd_003_FinalAerosolSingleScattAlb500
2021-09-13,-1.267651e+30
2021-09-14,-1.267651e+30
2021-09-15,-1.267651e+30
2021-09-16,0.904200017
2021-09-17,-1.267651e+30
2021-09-18,-1.267651e+30
2021-09-19,0.911300004
2021-09-20,-1.267651e+30
2021-09-21,-1.267651e+30
2021-09-22,-1.267651e+30
2021-09-23,-1.267651e+30
2021-09-24,-1.267651e+30
2021-09-25,0.865999997
2021-09-26,0.946500003
2021-09-27,-1.267651e+30
2021-09-28,0.917500019
2021-09-29,-1.267651e+30
2021-09-30,-1.267651e+30
2021-10-01,0.945200026
2021-10-02,0.985199988
2021-10-03,-1.267651e+30
2021-10-04,-1.267651e+30
2021-10-05,-1.267651e+30
2021-10-06,-1.267651e+30
2021-10-07,-1.267651e+30
2021-10-08,-1.267651e+30
2021-10-09,-1.267651e+30
2021-10-10,0.969799995
2021-10-11,0.861599982
2021-10-12,0.881699979
2021-10-13,-1.267651e+30
2021-10-14,-1.267651e+30
2021-10-15,-1.267651e+30
2021-10-16,-1.267651e+30
2021-10-17,-1.267651e+30
2021-10-18,-1.267651e+30
2021-10-19,0.916299999
2021-10-20,-1.267651e+30
2021-10-21,-1.267651e+30
2021-10-22,-1.267651e+30
2021-10-23,-1.267651e+30
2021-10-24,-1.267651e+30
2021-10-25,-1.267651e+30
2021-10-26,-1.267651e+30
2021-10-27,-1.267651e+30
2021-10-28,0.907700002
2021-10-29,-1.267651e+30
2021-10-30,-1.267651e+30
2021-10-31,-1.267651e+30
2021-11-01,-1.267651e+30
2021-11-02,-1.267651e+30
2021-11-03,-1.267651e+30
2021-11-04,-1.267651e+30
2021-11-05,-1.267651e+30
2021-11-06,0.899999976
2021-11-07,-1.267651e+30
2021-11-08,0.876800001
2021-11-09,-1.267651e+30
2021-11-10,0.908399999
2021-11-11,-1.267651e+30
2021-11-12,-1.267651e+30
2021-11-13,-1.267651e+30
2021-11-14,-1.267651e+30
2021-11-15,-1.267651e+30
2021-11-16,-1.267651e+30
2021-11-17,-1.267651e+30
2021-11-18,-1.267651e+30
2021-11-19,-1.267651e+30
2021-11-20,-1.267651e+30
2021-11-21,-1.267651e+30
2021-11-22,-1.267651e+30
2021-11-23,-1.267651e+30
2021-11-24,-1.267651e+30
2021-11-25,-1.267651e+30
2021-11-26,-1.267651e+30
2021-11-27,0.934300005
2021-11-28,-1.267651e+30
2021-11-29,-1.267651e+30
2021-11-30,-1.267651e+30
2021-12-01,-1.267651e+30
2021-12-02,-1.267651e+30
2021-12-03,0.853600025
2021-12-04,-1.267651e+30
2021-12-05,-1.267651e+30
2021-12-06,-1.267651e+30
2021-12-07,-1.267651e+30
2021-12-08,-1.267651e+30
2021-12-09,-1.267651e+30
2021-12-10,-1.267651e+30
2021-12-11,-1.267651e+30
2021-12-12,0.864799976
2021-12-13,0.864499986
2021-12-14,-1.267651e+30
2021-12-15,-1.267651e+30
2021-12-16,-1.267651e+30
2021-12-17,0.914600015
2021-12-18,-1.267651e+30
2021-12-19,-1.267651e+30
2021-12-20,-1.267651e+30
2021-12-21,-1.267651e+30
2021-12-22,-1.267651e+30
2021-12-23,-1.267651e+30
2021-12-24,-1.267651e+30
2021-12-25,-1.267651e+30
2021-12-26,-1.267651e+30
2021-12-27,-1.267651e+30
2021-12-28,-1.267651e+30
2021-12-29,-1.267651e+30
2021-12-30,-1.267651e+30
2021-12-31,-1.267651e+30
2022-01-01,-1.267651e+30
2022-01-02,-1.267651e+30
2022-01-03,-1.267651e+30
2022-01-04,-1.267651e+30
2022-01-05,-1.267651e+30
2022-01-06,-1.267651e+30
2022-01-07,-1.267651e+30
2022-01-08,-1.267651e+30
2022-01-09,-1.267651e+30
2022-01-10,-1.267651e+30
2022-01-11,-1.267651e+30
2022-01-12,-1.267651e+30
2022-01-13,-1.267651e+30
2022-01-14,-1.267651e+30
2022-01-15,-1.267651e+30
2022-01-16,0.926699996
2022-01-17,-1.267651e+30
2022-01-18,-1.267651e+30
2022-01-19,-1.267651e+30
2022-01-20,-1.267651e+30
2022-01-21,-1.267651e+30
2022-01-22,-1.267651e+30
2022-01-23,-1.267651e+30
2022-01-24,-1.267651e+30
2022-01-25,-1.267651e+30
2022-01-26,-1.267651e+30
2022-01-27,-1.267651e+30
2022-01-28,-1.267651e+30
2022-01-29,-1.267651e+30
2022-01-30,-1.267651e+30
2022-01-31,-1.267651e+30
2022-02-01,-1.267651e+30
2022-02-02,-1.267651e+30
2022-02-03,-1.267651e+30
2022-02-04,-1.267651e+30
2022-02-05,0.947799981
2022-02-06,0.894999981
