sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,albedo_500,cloud_temp,surf_temp
23.4750004,12.546875,0.0,-1.267651e+30,4.4749999,26.8500004
26.5375004,12.8515625,0.0,-1.267651e+30,5.2874999,26.0375004
26.5375004,12.8515625,0.0,-1.267651e+30,5.2874999,26.0375004
25.2875004,16.234375,1.99999988,-1.267651e+30,-11.8374996,26.5375004
23.6625004,11.6640625,0.0,0.944400012,-44.4312515,28.1000004
24.9125004,13.2265625,0.0,0.950999975,-1.46249998,28.9750004
24.6000004,12.28125,0.0,0.935100019,11.3500004,28.4125004
24.6000004,12.28125,0.0899999961,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0699999928,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0749999955,0.963199973,-6.2750001,28.7875004
24.6000004,12.28125,1.81499982,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,0.908699989,-6.2750001,28.7875004
24.6000004,12.28125,0.0,0.907800019,-6.2750001,28.7875004
24.6000004,12.28125,0.0,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,0.91900003,-6.2750001,28.7875004
24.6000004,12.28125,0.0,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,26.4849987,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,0.925499976,-6.2750001,28.7875004
24.6000004,12.28125,22.8099995,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.170000002,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,8.81499958,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,0.0,0.925599992,-6.2750001,28.7875004
24.6000004,12.28125,0.0,-1.267651e+30,-6.2750001,28.7875004
24.6000004,12.28125,4.63499928,-1.267651e+30,-6.2750001,28.7875004
20.2250004,11.59375,0.359999985,-1.267651e+30,-39.8375015,23.9750004
17.7875004,7.546875,0.0,0.927600026,-32.9000015,22.9125004
17.1000004,8.859375,0.534999967,0.930199981,-14.9624996,22.2875004
18.4750004,8.25,0.0,-1.267651e+30,-28.1499996,22.8500004
20.0375004,13.9609375,0.579999983,-1.267651e+30,-51.6812515,24.6000004
23.6625004,14.015625,0.0,-1.267651e+30,-34.5250015,24.8500004
26.2250004,14.8828125,0.0,-1.267651e+30,21.3500004,27.4125004
17.7250004,11.4921875,0.0,-1.267651e+30,-1.46249998,18.5375004
17.7250004,11.4921875,1.42999995,0.969500005,-1.46249998,18.5375004
21.0375004,10.828125,0.0,-1.267651e+30,-25.2124996,23.3500004
22.0375004,13.1484375,9.91499996,-1.267651e+30,-35.9937515,19.8500004
15.0375004,6.2109375,0.0,0.866400003,-15.9624996,18.9125004
16.6000004,7.37890625,0.0,-1.267651e+30,-33.7750015,19.8500004
20.9750004,8.921875,0.0,0.901000023,5.0999999,22.2250004
17.1000004,8.625,0.0,-1.267651e+30,5.2874999,20.6625004
17.1000004,8.625,0.0,0.929799974,-55.7437515,17.6000004
12.6625004,5.19921875,0.0,-1.267651e+30,-22.4624996,17.7250004
13.7875004,5.25390625,0.0,0.958599985,-54.9625015,19.3500004
16.3500004,5.78125,0.0,0.871399999,9.53750038,20.7875004
18.1000004,8.1796875,0.0,-1.267651e+30,15.5375004,20.2250004
17.9125004,9.484375,0.0,0.927900016,-8.02499962,21.9750004
19.2875004,9.4765625,0.855000019,-1.267651e+30,-32.4625015,23.7875004
22.6000004,10.8359375,0.0,-1.267651e+30,17.9125004,23.2875004
20.7875004,12.0390625,0.0,-1.267651e+30,-23.7124996,26.1000004
20.7875004,12.0390625,0.0,0.917999983,-23.7124996,26.1000004
21.6625004,12.6796875,0.00999999978,0.937300026,2.7249999,25.3500004
21.6625004,12.6796875,13.915,-1.267651e+30,-31.4937496,25.3500004
21.6625004,12.6796875,21.289999,-1.267651e+30,-15.9624996,14.9750004
12.2250004,6.9296875,0.179999992,-1.267651e+30,-12.5249996,17.7250004
11.6000004,6.9609375,0.0,-1.267651e+30,-6.9625001,14.0375004
10.2875004,5.328125,0.0,-1.267651e+30,-12.3374996,16.7875004
10.2875004,5.328125,0.779999971,-1.267651e+30,-15.5874996,23.9125004
12.2875004,7.24609375,0.314999998,-1.267651e+30,-3.6500001,15.1625004
14.9125004,7.76953125,0.0,-1.267651e+30,-2.5875001,19.1000004
15.1000004,7.3828125,13.6300011,0.93720001,-20.1812496,16.6625004
12.2875004,4.96484375,0.0,-1.267651e+30,-5.9000001,16.2875004
15.2875004,7.44140625,0.0,-1.267651e+30,4.5374999,17.9125004
20.6625004,10.28125,0.00999999978,-1.267651e+30,-5.9000001,21.2250004
14.1000004,6.703125,0.654999971,0.95389998,-44.0562515,15.9125004
