time, AIRS3STD_7_0_SurfSkinTemp_A
2021-08-12,27.7250004
2021-08-13,-9999.0
2021-08-14,25.8500004
2021-08-15,25.2250004
2021-08-16,27.3500004
2021-08-17,20.9750004
2021-08-18,-9999.0
2021-08-19,16.5375004
2021-08-20,25.9125004
2021-08-21,27.9750004
2021-08-22,27.2250004
2021-08-23,24.9750004
2021-08-24,28.6625004
2021-08-25,30.2250004
2021-08-26,29.2875004
2021-08-27,25.7250004
2021-08-28,25.9125004
2021-08-29,-9999.0
2021-08-30,27.1000004
2021-08-31,24.0375004
2021-09-01,-9999.0
2021-09-02,-9999.0
2021-09-03,20.5375004
2021-09-04,25.4750004
2021-09-05,10.2875004
2021-09-06,20.7250004
2021-09-07,24.1625004
2021-09-08,22.4125004
2021-09-09,21.4750004
2021-09-10,20.6625004
2021-09-11,24.3500004
2021-09-12,11.4750004
2021-09-13,23.4125004
2021-09-14,-9999.0
2021-09-15,16.2875004
2021-09-16,24.3500004
2021-09-17,23.7250004
2021-09-18,23.2250004
2021-09-19,22.5375004
2021-09-20,24.6625004
2021-09-21,25.2875004
2021-09-22,-9999.0
2021-09-23,-9999.0
2021-09-24,17.4125004
2021-09-25,23.2875004
2021-09-26,19.7250004
2021-09-27,21.5375004
2021-09-28,17.6000004
2021-09-29,18.4750004
2021-09-30,-9999.0
2021-10-01,18.7875004
2021-10-02,20.8500004
2021-10-03,8.10000038
2021-10-04,12.7875004
2021-10-05,11.9750004
2021-10-06,17.1000004
2021-10-07,21.9750004
2021-10-08,22.0375004
2021-10-09,8.47500038
2021-10-10,19.6000004
2021-10-11,24.1625004
2021-10-12,22.3500004
2021-10-13,17.6000004
2021-10-14,21.1625004
2021-10-15,15.4750004
2021-10-16,-9999.0
2021-10-17,10.7250004
2021-10-18,4.3499999
2021-10-19,17.1625004
2021-10-20,20.4125004
2021-10-21,14.9125004
2021-10-22,5.1624999
2021-10-23,8.60000038
2021-10-24,14.6625004
2021-10-25,8.97500038
2021-10-26,-9999.0
2021-10-27,13.9750004
2021-10-28,14.4750004
2021-10-29,14.4750004
2021-10-30,-9999.0
2021-10-31,5.9749999
2021-11-01,-9999.0
2021-11-02,10.2250004
2021-11-03,6.8499999
2021-11-04,10.9125004
2021-11-05,10.8500004
2021-11-06,10.9750004
2021-11-07,13.6000004
2021-11-08,14.1625004
2021-11-09,13.3500004
2021-11-10,11.6625004
2021-11-11,12.9750004
2021-11-12,12.2875004
2021-11-13,0.224999994
2021-11-14,-1.71249998
2021-11-15,3.7874999
2021-11-16,7.5374999
2021-11-17,-9999.0
2021-11-18,-5.5250001
2021-11-19,6.6624999
2021-11-20,-0.712499976
2021-11-21,3.9749999
2021-11-22,5.5999999
2021-11-23,4.2874999
2021-11-24,5.4749999
2021-11-25,-0.524999976
2021-11-26,-9999.0
2021-11-27,5.5374999
2021-11-28,-9999.0
2021-11-29,4.4749999
2021-11-30,-9.83749962
2021-12-01,5.4749999
2021-12-02,-1.52499998
2021-12-03,-9999.0
2021-12-04,4.3499999
2021-12-05,-4.7125001
2021-12-06,-9999.0
2021-12-07,-14.8999996
2021-12-08,-9999.0
2021-12-09,-4.8375001
2021-12-10,-9999.0
2021-12-11,10.6625004
2021-12-12,6.7874999
2021-12-13,8.22500038
2021-12-14,7.1624999
2021-12-15,-9999.0
2021-12-16,12.4750004
2021-12-17,-9999.0
2021-12-18,-9999.0
2021-12-19,-9999.0
