time, AIRS3STD_7_0_CloudTopTemp_A
2022-06-04,-38.6187515
2022-06-05,3.9749999
2022-06-06,-40.9000015
2022-06-07,-39.7125015
2022-06-08,-12.7749996
2022-06-09,-9.89999962
2022-06-10,-2.7750001
2022-06-11,-19.4624996
2022-06-12,-10.7749996
2022-06-13,-12.0249996
2022-06-14,8.53750038
2022-06-15,-13.5874996
2022-06-16,-32.3687515
2022-06-17,4.2874999
2022-06-18,2.7249999
2022-06-19,3.0374999
2022-06-20,-19.7437496
2022-06-21,-29.3999996
2022-06-22,15.8500004
2022-06-23,8.91250038
2022-06-24,14.1000004
2022-06-25,-19.2124996
2022-06-26,-29.9312496
2022-06-27,-12.8374996
2022-06-28,-9.77499962
2022-06-29,-35.8062515
2022-06-30,-25.5874996
2022-07-01,-22.8374996
2022-07-02,-21.5874996
2022-07-03,-8.02499962
2022-07-04,-9999.0
2022-07-05,-4.7125001
2022-07-06,1.28750002
2022-07-07,-24.7124996
2022-07-08,-24.7749996
2022-07-09,-13.0249996
2022-07-10,-4.0875001
2022-07-11,-2.9625001
2022-07-12,-3.4625001
2022-07-13,-2.7125001
2022-07-14,-0.524999976
2022-07-15,-14.0249996
2022-07-16,-32.8375015
2022-07-17,-42.9625015
2022-07-18,-35.4312515
2022-07-19,-10.6499996
2022-07-20,-18.6187496
2022-07-21,3.5999999
2022-07-22,4.3499999
2022-07-23,-32.0250015
2022-07-24,-10.9624996
2022-07-25,13.1000004
2022-07-26,-20.3374996
2022-07-27,-9999.0
2022-07-28,-22.7437496
2022-07-29,9.60000038
2022-07-30,11.3500004
2022-07-31,-41.7125015
2022-08-01,2.0999999
2022-08-02,12.6625004
2022-08-03,-39.4312515
2022-08-04,-23.4624996
2022-08-05,-22.5874996
2022-08-06,18.1625004
2022-08-07,-39.3375015
2022-08-08,-1.08749998
2022-08-09,11.0375004
2022-08-10,-1.27499998
2022-08-11,-3.0250001
2022-08-12,-14.8374996
2022-08-13,-3.2750001
2022-08-14,-6.9000001
2022-08-15,-20.4312496
2022-08-16,-32.9625015
2022-08-17,-36.3375015
2022-08-18,-30.1187496
2022-08-19,-9999.0
2022-08-20,-1.64999998
2022-08-21,-31.3687496
2022-08-22,-12.5874996
2022-08-23,-22.4937496
2022-08-24,16.0375004
2022-08-25,-16.5249996
2022-08-26,-5.5250001
2022-08-27,13.6625004
2022-08-28,-40.0875015
2022-08-29,4.3499999
2022-08-30,-22.2437496
2022-08-31,1.66250002
2022-09-01,7.5374999
2022-09-02,20.0375004
2022-09-03,-12.3999996
2022-09-04,-45.2125015
2022-09-05,-27.5562496
2022-09-06,7.5999999
2022-09-07,3.4749999
2022-09-08,-6.0250001
2022-09-09,22.0375004
2022-09-10,-34.7750015
2022-09-11,-9999.0
2022-09-12,-9.58749962
2022-09-13,-3.0250001
2022-09-14,1.03750002
2022-09-15,-30.6499996
2022-09-16,-0.150000006
2022-09-17,-12.3374996
2022-09-18,-19.8999996
2022-09-19,-45.5562515
2022-09-20,6.5374999
2022-09-21,-36.9000015
2022-09-22,-11.5874996
2022-09-23,-5.0250001
2022-09-24,1.28750002
2022-09-25,-20.8374996
2022-09-26,-18.5874996
2022-09-27,-36.2437515
2022-09-28,3.1624999
2022-09-29,7.5374999
2022-09-30,-45.7750015
2022-10-01,-31.1187496
2022-10-02,-31.6812496
2022-10-03,-40.7125015
2022-10-04,-9999.0
2022-10-05,-1.46249998
2022-10-06,-26.2437496
2022-10-07,1.22500002
2022-10-08,-3.9000001
2022-10-09,-6.3375001
2022-10-10,-6.4000001
2022-10-11,13.7875004
2022-10-12,-41.3687515
2022-10-13,-18.5874996
2022-10-14,-14.0874996
2022-10-15,-13.1499996
2022-10-16,-7.3375001
2022-10-17,-17.7437496
2022-10-18,-13.6499996
2022-10-19,-25.1812496
2022-10-20,-30.4937496
2022-10-21,-3.7750001
2022-10-22,15.2250004
2022-10-23,-45.0562515
2022-10-24,0.912500024
2022-10-25,13.6000004
2022-10-26,-5.8375001
2022-10-27,-0.899999976
2022-10-28,-22.5562496
2022-10-29,-25.1499996
