time,sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,cloud_temp
2020-12-15,-1.27499998,2.51757812,0.0,1.60000002,-23.8999996
2020-12-16,-1.27499998,2.51757812,0.210000008,1.60000002,-23.8999996
2020-12-17,-3.6500001,2.24414062,5.53500032,-0.275000006,-15.3374996
2020-12-18,0.537500024,2.22070312,0.0,-1.33749998,-2.2750001
2020-12-19,0.537500024,2.22070312,0.604999959,-5.7750001,-32.4000015
2020-12-20,-1.52499998,3.65820312,4.75500011,-10.5249996,-23.8062496
2020-12-21,1.47500002,2.95898438,0.0,4.3499999,-11.7749996
2020-12-22,3.2874999,3.12109375,0.0,2.5374999,-13.2749996
2020-12-23,5.9749999,4.10546875,0.719999969,2.5374999,-39.4000015
2020-12-24,5.9749999,4.10546875,24.3100014,2.5374999,-48.0875015
2020-12-25,5.9749999,4.10546875,73.195015,2.5374999,-39.0875015
2020-12-26,5.9749999,4.10546875,0.0,2.5374999,-25.5874996
2020-12-27,1.16250002,3.4609375,0.0,-6.1500001,-28.7437496
2020-12-28,1.16250002,3.4609375,1.90999997,-6.1500001,-9.64999962
2020-12-29,-3.5875001,1.86328125,0.0,-0.400000006,-14.0874996
2020-12-30,8.28750038,5.30859375,10.1400003,3.1624999,-42.9625015
2020-12-31,4.0374999,3.5703125,2.86999989,8.78750038,-33.4312515
2021-01-01,4.0374999,3.5703125,5.34000015,8.78750038,-33.4312515
2021-01-02,2.9749999,3.95898438,13.6850014,1.91250002,-4.5250001
2021-01-03,1.22500002,4.1875,2.02499986,-12.5874996,-30.2437496
2021-01-04,-0.462500006,4.1875,0.0,-5.9000001,-30.2437496
2021-01-05,-1.46249998,4.09765625,0.0,-10.6499996,-14.9624996
2021-01-06,1.85000002,4.34765625,0.155000001,-3.9000001,-13.5249996
2021-01-07,1.85000002,4.34765625,1.58999968,-10.9624996,-13.5249996
2021-01-08,1.85000002,4.34765625,0.0,-4.7125001,-13.5249996
2021-01-09,-0.462500006,2.74804688,0.0,2.0374999,-29.3687496
2021-01-10,-0.712499976,2.54492188,0.0,-6.2750001,-12.2124996
2021-01-11,-3.2750001,2.95117188,1.07999992,-5.3375001,-17.3374996
2021-01-12,-2.9000001,2.95117188,0.0799999982,-14.5249996,-17.3999996
2021-01-13,-1.71249998,2.95117188,0.0,-10.7124996,-17.9624996
2021-01-14,-1.71249998,2.95117188,0.0449999981,-10.7124996,-9.33749962
2021-01-15,11.7250004,2.89257812,1.64999986,9.41250038,-50.1812515
2021-01-16,-0.649999976,3.1875,5.9749999,-4.2750001,-26.4624996
2021-01-17,-0.649999976,3.1875,0.155000001,-4.2750001,-26.4624996
2021-01-18,-5.0875001,2.359375,1.2249999,-4.5250001,-16.8999996
2021-01-19,-0.212500006,2.81054688,0.0,-4.4625001,-26.3062496
2021-01-20,-4.2125001,1.41796875,0.0,-0.275000006,-16.7124996
2021-01-21,-6.4625001,1.41796875,0.0,-0.275000006,-15.8374996
2021-01-22,-6.4625001,1.41796875,0.0,-0.275000006,-31.3687496
2021-01-23,-3.2125001,1.53027344,0.0,1.72500002,-16.7124996
2021-01-24,-4.0875001,1.62988281,0.0,-6.0875001,-24.5249996
2021-01-25,-1.96249998,2.08984375,0.0599999987,0.912500024,-16.8999996
2021-01-26,-1.96249998,2.08984375,1.36499989,0.912500024,-19.1187496
2021-01-27,0.412499994,2.65039062,0.0,2.5374999,-12.7124996
2021-01-28,-5.5250001,1.41015625,0.0449999981,0.600000024,-18.4937496
2021-01-29,-3.3375001,1.85644531,0.0,-3.9625001,-20.8062496
2021-01-30,-4.4625001,1.80078125,0.0,-2.9000001,-12.0249996
2021-01-31,-3.7750001,1.92480469,0.0,-7.9625001,-42.2750015
2021-02-01,-1.21249998,2.85351562,1.52499998,-1.21249998,-16.0249996
2021-02-02,-1.21249998,2.85351562,1.29999983,-1.21249998,-16.0249996
2021-02-03,-4.5250001,2.35351562,1.26999986,-5.2750001,-31.2749996
2021-02-04,2.4749999,3.50585938,0.0,1.53750002,-31.2749996
2021-02-05,1.78750002,2.91992188,5.85499954,3.0999999,-11.5874996
2021-02-06,-7.0250001,1.41796875,0.0,-3.2750001,-20.1187496
2021-02-07,-7.0250001,1.41796875,0.0899999961,-3.2750001,-23.7749996
2021-02-08,-6.7750001,1.84863281,0.0,-4.6500001,-17.8999996
2021-02-09,-0.649999976,2.50390625,0.319999993,-2.0875001,-21.8062496
